Cell_Lat,Cell_Lon,Contagem,Cell_Freq,Contagem_train,Cell_Freq_train,Nearest_Municipio
-18.3,-50.7,95,7.014559271549096e-05,71.0,7.547940050220379e-05,QUIRINÓPOLIS
-18.3,-50.6,379,0.00027984399620180074,92.0,9.780429360848941e-05,QUIRINÓPOLIS
-18.3,-50.5,694,0.0005124320141531655,90.0,9.567811331265269e-05,QUIRINÓPOLIS
-18.3,-50.4,353,0.0002606462550375611,254.0,0.0002700248975712642,CASTELÂNDIA
-18.3,-50.1,128,9.451195650087201e-05,86.0,9.142575272097923e-05,INACIOLÂNDIA
-18.3,-50.0,565,0.0004171816829921304,468.0,0.000497526189225794,BOM JESUS DE GOIÁS
-18.3,-49.9,1370,0.0010115732844233958,1029.0,0.0010939197622079958,BOM JESUS DE GOIÁS
-18.3,-49.8,1326,0.000979084799376221,871.0,0.0009259515188368943,BOM JESUS DE GOIÁS
-18.3,-49.7,660,0.00048732727570762136,457.0,0.00048583219759869197,ITUMBIARA
-18.3,-49.5,240,0.00017720991843913505,137.0,0.00014564335026481576,ITUMBIARA
-18.3,-49.4,723,0.0005338448792978943,534.0,0.0005676901389884059,PANAMÁ
-18.3,-49.3,691,0.0005102168901726763,277.0,0.0002944759709733866,PANAMÁ
-18.3,-49.2,491,0.0003625419581400638,316.0,0.00033593648674220275,PANAMÁ
-18.3,-49.1,8,5.906997281304501e-06,5.0,5.315450739591816e-06,BURITI ALEGRE
-18.3,-48.3,20,1.4767493203261253e-05,15.0,1.5946352218775446e-05,ANHANGUERA
-18.3,-48.2,224,0.00016539592387652605,188.0,0.00019986094780865228,ANHANGUERA
-18.3,-48.1,66,4.8732727570762136e-05,49.0,5.2091417247999796e-05,CUMARI
-18.3,-48.0,116,8.565146057891527e-05,95.0,0.0001009935640522445,CUMARI
-18.3,-47.9,90,6.645371941467564e-05,81.0,8.611030198138742e-05,TRÊS RANCHOS
-18.3,-47.8,141,0.00010411082708299183,86.0,9.142575272097923e-05,TRÊS RANCHOS
-18.3,-47.7,333,0.00024587876183429985,227.0,0.00024132146357746845,TRÊS RANCHOS
-18.3,-47.6,57,4.208735562929457e-05,57.0,6.05961384313467e-05,TRÊS RANCHOS
-18.2,-53.1,108,7.974446329761077e-05,102.0,0.00010843519508767304,CHAPADÃO DO CÉU
-18.2,-53.0,1252,0.0009244450745241544,1090.0,0.001158768261231016,CHAPADÃO DO CÉU
-18.2,-52.9,1703,0.0012574520462576956,1652.0,0.001756224924361136,CHAPADÃO DO CÉU
-18.2,-52.8,1192,0.0008801425949143707,706.0,0.0007505416444303644,CHAPADÃO DO CÉU
-18.2,-52.7,467,0.00034482096629615027,467.0,0.0004964630990778756,CHAPADÃO DO CÉU
-18.2,-52.6,80,5.906997281304501e-05,60.0,6.378540887510179e-05,CHAPADÃO DO CÉU
-18.2,-52.5,85,6.276184611386032e-05,22.0,2.338798325420399e-05,CHAPADÃO DO CÉU
-18.2,-52.4,124,9.155845786021977e-05,113.0,0.00012012918671477504,SERRANÓPOLIS
-18.2,-52.3,464,0.00034260584231566107,168.0,0.00017859914485028502,SERRANÓPOLIS
-18.2,-52.2,197,0.00014545980805212333,162.0,0.00017222060396277484,SERRANÓPOLIS
-18.2,-52.1,97,7.162234203581708e-05,67.0,7.122703991053034e-05,SERRANÓPOLIS
-18.2,-52.0,263,0.00019419253562288547,257.0,0.00027321416801501935,SERRANÓPOLIS
-18.2,-51.9,138,0.00010189570310250265,131.0,0.00013926480937730557,SERRANÓPOLIS
-18.2,-51.8,1005,0.000742066533463878,474.0,0.0005039047301133041,JATAÍ
-18.2,-51.7,288,0.00021265190212696203,170.0,0.00018072532514612174,JATAÍ
-18.2,-51.6,107,7.90060886374477e-05,90.0,9.567811331265269e-05,APARECIDA DO RIO DOCE
-18.2,-51.5,245,0.00018090179173995034,231.0,0.0002455738241691419,APARECIDA DO RIO DOCE
-18.2,-51.4,438,0.00032340810115142146,360.0,0.00038271245325061077,APARECIDA DO RIO DOCE
-18.2,-51.3,533,0.0003935536938669124,320.0,0.00034018884733387624,APARECIDA DO RIO DOCE
-18.2,-51.2,108,7.974446329761077e-05,101.0,0.00010737210493975468,APARECIDA DO RIO DOCE
-18.2,-51.1,124,9.155845786021977e-05,74.0,7.866867094595888e-05,APARECIDA DO RIO DOCE
-18.2,-51.0,614,0.00045336204134012047,575.0,0.0006112768350530588,CACHOEIRA ALTA
-18.2,-50.9,571,0.0004216119309531088,543.0,0.0005772579503196712,CACHOEIRA ALTA
-18.2,-50.8,145,0.00010706432572364409,56.0,5.9533048283428336e-05,QUIRINÓPOLIS
-18.2,-50.7,354,0.00026138462969772417,278.0,0.00029553906112130495,QUIRINÓPOLIS
-18.2,-50.6,667,0.0004924958983287627,640.0,0.0006803776946677525,QUIRINÓPOLIS
-18.2,-50.5,179,0.0001321690641691882,151.0,0.00016052661233567284,QUIRINÓPOLIS
-18.2,-50.4,585,0.00043194917619539166,469.0,0.0004985892793737123,CASTELÂNDIA
-18.2,-50.3,536,0.0003957688178474016,441.0,0.0004688227552319982,CASTELÂNDIA
-18.2,-50.2,193,0.0001425063094114711,152.0,0.0001615897024835912,CASTELÂNDIA
-18.2,-50.1,364,0.0002687683762993548,244.0,0.00025939399609208063,BOM JESUS DE GOIÁS
-18.2,-50.0,1266,0.0009347823197664373,1181.0,0.001255509464691587,BOM JESUS DE GOIÁS
-18.2,-49.9,752,0.0005552577444426231,649.0,0.0006899455059990177,BOM JESUS DE GOIÁS
-18.2,-49.8,560,0.0004134898096913151,433.0,0.00046031803404865125,BOM JESUS DE GOIÁS
-18.2,-49.7,404,0.0002983033627058773,301.0,0.0003199901345234273,GOIATUBA
-18.2,-49.5,141,0.00010411082708299183,111.0,0.00011800300641893831,PANAMÁ
-18.2,-49.4,504,0.00037214082872218357,489.0,0.0005198510823320796,PANAMÁ
-18.2,-49.3,434,0.0003204546025107692,280.0,0.00029766524141714167,PANAMÁ
-18.2,-49.2,97,7.162234203581708e-05,91.0,9.674120346057105e-05,PANAMÁ
-18.2,-49.1,69,5.0947851551251326e-05,60.0,6.378540887510179e-05,BURITI ALEGRE
